# reading -> cuneiform codepoint, learned from lines where the codepoint
# count equals the sign count. Generated by programs/learn_signmap.py.
# reading	cuneiform	confidence	top_obs	total_obs	unicode_name
LÀL	𒋭	1.000	335	335	CUNEIFORM SIGN TA TIMES HI
SUM	𒋧	1.000	332	332	CUNEIFORM SIGN SUM
IN	𒅔	1.000	328	328	CUNEIFORM SIGN IN
taḫ	𒈭	0.994	325	327	CUNEIFORM SIGN MU OVER MU
kap	𒆏	1.000	320	320	CUNEIFORM SIGN KAB
URUDU	𒍏	1.000	320	320	CUNEIFORM SIGN URUDA
wi₅	𒃾	0.997	317	318	CUNEIFORM SIGN GESHTIN
SILA₄	𒃢	0.994	315	317	CUNEIFORM SIGN GA2 TIMES PA
EREN	𒂞	1.000	314	314	CUNEIFORM SIGN EREN
AG	𒀝	1.000	313	313	CUNEIFORM SIGN AK
DAG	𒁖	1.000	313	313	CUNEIFORM SIGN DAG
9	𒑆	0.994	307	309	CUNEIFORM NUMERIC SIGN NINE VARIANT FORM ILIMMU
TUKUL	𒂉	0.997	307	308	CUNEIFORM SIGN DUR2
GÍD	𒁍	0.994	306	308	CUNEIFORM SIGN BU
SI	𒋛	1.000	308	308	CUNEIFORM SIGN SI
NUMUN	𒆰	1.000	306	306	CUNEIFORM SIGN KUL
ze	𒍣	1.000	296	296	CUNEIFORM SIGN ZI
NÍG	𒃻	1.000	293	293	CUNEIFORM SIGN GAR
ER	𒅕	0.997	291	292	CUNEIFORM SIGN IR
iḫ	𒄴	1.000	287	287	CUNEIFORM SIGN HI TIMES NUN
lam	𒇴	1.000	284	284	CUNEIFORM SIGN LAM
LA	𒆷	1.000	282	282	CUNEIFORM SIGN LA
GÚ	𒄘	0.996	279	280	CUNEIFORM SIGN GU2
ARAD	𒀴	1.000	278	278	CUNEIFORM SIGN ARAD
túḫ	𒈭	1.000	276	276	CUNEIFORM SIGN MU OVER MU
id	𒀉	1.000	269	269	CUNEIFORM SIGN A2
BAR	𒁇	0.996	267	268	CUNEIFORM SIGN BAR
ṢA	𒍝	0.996	266	267	CUNEIFORM SIGN ZA
PU	𒁍	1.000	256	256	CUNEIFORM SIGN BU
bu	𒁍	0.996	254	255	CUNEIFORM SIGN BU
IT	𒀉	1.000	250	250	CUNEIFORM SIGN A2
MUḪALDIM	𒈬	0.996	247	248	CUNEIFORM SIGN MU
pád	𒁁	1.000	244	244	CUNEIFORM SIGN BAD
kum	𒄣	1.000	240	240	CUNEIFORM SIGN GUM
kam	𒄰	1.000	239	239	CUNEIFORM SIGN HI TIMES BAD
GABA	𒂃	1.000	235	235	CUNEIFORM SIGN DUH
NITA	𒍑	1.000	233	233	CUNEIFORM SIGN USH
EL	𒂖	1.000	233	233	CUNEIFORM SIGN EL
dur	𒄙	1.000	232	232	CUNEIFORM SIGN GU2 TIMES KAK
DÍLIM	𒇺	1.000	232	232	CUNEIFORM SIGN LISH
DAM	𒁮	1.000	229	229	CUNEIFORM SIGN DAM
AM	𒄠	0.996	226	227	CUNEIFORM SIGN GUD TIMES KUR
